player_id;id$;day;category
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;0
1;1,67E+12;2022-10-06;-1
1;1,67E+12;2022-10-06;0
2;1,67E+12;2022-10-06;0
2;1,67E+12;2022-10-06;0
2;1,67E+12;2022-10-06;0
2;1,67E+12;2022-10-06;1
2;1,67E+12;2022-10-06;1
2;1,67E+12;2022-10-06;1
3;1,67E+12;2022-10-06;1
3;1,67E+12;2022-10-06;1
4;1,67E+12;2022-10-06;0
4;1,67E+12;2022-10-06;0
4;1,67E+12;2022-10-06;0
4;1,67E+12;2022-10-06;0
4;1,67E+12;2022-10-06;-1
4;1,67E+12;2022-10-06;0
4;1,67E+12;2022-10-06;1
4;1,67E+12;2022-10-06;1
4;1,67E+12;2022-10-06;1
4;1,67E+12;2022-10-06;0
4;1,67E+12;2022-10-06;0
4;1,67E+12;2022-10-06;1
4;1,67E+12;2022-10-06;-1
4;1,67E+12;2022-10-06;0
4;1,67E+12;2022-10-06;0
