player_id;football_api_player_id
1;129718
2;984
3;2929
4;25
5;7334
6;2063
7;1152
8;1166
9;269
10;1153
11;21509
12;25639
13;19
14;50852
15;25646
16;127817
17;277
18;152654
19;976
20;2298
21;304
22;33
23;644
24;522
25;510
